"TRAIT","GO","NAME","FUNCTION","QTL","locusName","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline"
"Al27","GO:0003676","nucleic acid binding","molecular_function","5K@37.73","Pavir.5KG241200","AT3G12470","","Polynucleotidyl transferase, ribonuclease H-like superfamily protein","LOC_Os01g47100","3-5 exonuclease domain-containing protein, putative, expressed"
"Al27","GO:0003676","nucleic acid binding","molecular_function","5K@37.73","Pavir.5KG324507","AT5G48350","","Polynucleotidyl transferase, ribonuclease H-like superfamily protein","LOC_Os01g47180","3-5 exonuclease domain-containing protein, putative, expressed"
"Al27","GO:0003676","nucleic acid binding","molecular_function","7K@41.91","Pavir.7KG406751","AT1G11190","BFN1,ENDO1","bifunctional nuclease i","LOC_Os04g54390","nuclease PA3, putative, expressed"
"Al27","GO:0003676","nucleic acid binding","molecular_function","7K@41.91","Pavir.7KG409300","AT1G50840","POLGAMMA2","polymerase gamma 2","LOC_Os08g07840","PolI-like DNA polymerase, putative, expressed"
"Al27","GO:0003676","nucleic acid binding","molecular_function","5K@37.73","Pavir.5KG235700","AT5G56680","EMB2755,SYNC1,SYNC1 ARATH","Class II aminoacyl-tRNA and biotin synthetases superfamily protein","LOC_Os01g27520","tRNA synthetases class II domain containing protein, expressed"
"Al27","GO:0003676","nucleic acid binding","molecular_function","7K@41.91","Pavir.7KG414600","AT2G21060","ATCSP4,ATGRP2B,GRP2B","glycine-rich protein 2B","LOC_Os08g03520","retrotransposon protein, putative, Ty1-copia subclass, expressed"
"Al27","GO:0003676","nucleic acid binding","molecular_function","5K@37.73","Pavir.5KG237400","AT3G06400","CHR11","chromatin-remodeling protein 11","LOC_Os01g27040","chromatin-remodeling complex ATPase chain, putative, expressed"
"Al27","GO:0003676","nucleic acid binding","molecular_function","5K@37.73","Pavir.5KG237900","AT3G06400","CHR11","chromatin-remodeling protein 11","LOC_Os01g27040","chromatin-remodeling complex ATPase chain, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","5K@37.73","Pavir.5KG170021","ATCG01040","","Cytochrome C assembly protein","LOC_Os06g46434","cytochrome c biogenesis protein ccsA, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","9K@76.29","Pavir.9KG463300","AT3G62370","","heme binding","LOC_Os03g19580","expressed protein"
"Al27","GO:0020037","heme binding","molecular_function","4N@31.99","Pavir.4NG106600","AT5G47000","","Peroxidase superfamily protein","LOC_Os02g50770","peroxidase precursor, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","4N@31.99","Pavir.4NG121311","AT5G05340","","Peroxidase superfamily protein","LOC_Os06g32960","peroxidase precursor, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","4N@31.99","Pavir.4NG143700","AT5G14130","","Peroxidase superfamily protein","LOC_Os06g27850","peroxidase precursor, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","4N@31.99","Pavir.4NG151137","AT2G46950","CYP709B2","cytochrome P450, family 709, subfamily B, polypeptide 2","LOC_Os06g09210","cytochrome P450 72A1, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","4N@31.99","Pavir.4NG151900","AT1G05260","RCI3,RCI3A","Peroxidase superfamily protein","LOC_Os06g20150","peroxidase precursor, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","4N@31.99","Pavir.4NG152100","AT1G05260","RCI3,RCI3A","Peroxidase superfamily protein","LOC_Os06g29470","peroxidase precursor, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","4N@31.99","Pavir.4NG160000","AT1G68850","","Peroxidase superfamily protein","LOC_Os06g16350","peroxidase precursor, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","4N@31.99","Pavir.4NG162600","AT5G05340","","Peroxidase superfamily protein","LOC_Os06g35520","peroxidase precursor, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","4N@31.99","Pavir.4NG162622","AT5G05340","","Peroxidase superfamily protein","LOC_Os06g35490","peroxidase precursor, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","4N@31.99","Pavir.4NG164200","AT5G05340","","Peroxidase superfamily protein","LOC_Os06g35480","peroxidase precursor, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","4N@31.99","Pavir.4NG164211","AT5G05340","","Peroxidase superfamily protein","LOC_Os06g35520","peroxidase precursor, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","4N@31.99","Pavir.4NG165900","AT1G34540","CYP94D1","cytochrome P450, family 94, subfamily D, polypeptide 1","LOC_Os01g58970","cytochrome P450, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","4N@31.99","Pavir.4NG174421","AT5G19890","","Peroxidase superfamily protein","LOC_Os10g02070","peroxidase precursor, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","4N@31.99","Pavir.4NG180900","AT2G42250","CYP712A1","cytochrome P450, family 712, subfamily A, polypeptide 1","LOC_Os06g41070","cytochrome P450, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","4N@31.99","Pavir.4NG189400","AT2G26710","BAS1,CYP72B1,CYP734A1","Cytochrome P450 superfamily protein","LOC_Os02g11020","cytochrome P450 72A1, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","4N@31.99","Pavir.4NG211721","AT2G26170","CYP711A1,MAX1","cytochrome P450, family 711, subfamily A, polypeptide 1","LOC_Os06g36920","cytochrome P450, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","4N@31.99","Pavir.4NG212106","AT4G39950","CYP79B2","cytochrome P450, family 79, subfamily B, polypeptide 2","LOC_Os03g37290","cytochrome P450, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","4N@31.99","Pavir.4NG214600","AT5G25900","ATKO1,CYP701A3,GA3","GA requiring 3","LOC_Os06g37330","cytochrome P450, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","4N@31.99","Pavir.4NG214700","AT5G25900","ATKO1,CYP701A3,GA3","GA requiring 3","LOC_Os06g37364","cytochrome P450, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","4N@31.99","Pavir.4NG215654","AT4G39490","CYP96A10","cytochrome P450, family 96, subfamily A, polypeptide 10","LOC_Os08g16260","cytochrome P450 protein, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","4N@31.99","Pavir.4NG232500","AT3G03470","CYP89A9","cytochrome P450, family 87, subfamily A, polypeptide 9","LOC_Os07g26870","cytochrome P450, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","4N@31.99","Pavir.4NG233842","AT4G39950","CYP79B2","cytochrome P450, family 79, subfamily B, polypeptide 2","LOC_Os03g37290","cytochrome P450, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","4N@31.99","Pavir.4NG237355","AT4G39950","CYP79B2","cytochrome P450, family 79, subfamily B, polypeptide 2","LOC_Os03g37290","cytochrome P450, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","5K@37.73","Pavir.5KG155000","AT3G14680","CYP72A14","cytochrome P450, family 72, subfamily A, polypeptide 14","LOC_Os01g43844","cytochrome P450 72A1, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","5K@37.73","Pavir.5KG168000","AT4G37530","","Peroxidase superfamily protein","LOC_Os07g02440","peroxidase precursor, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","5K@37.73","Pavir.5KG170500","AT5G36110","CYP716A1","cytochrome P450, family 716, subfamily A, polypeptide 1","LOC_Os07g33440","cytochrome P450, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","5K@37.73","Pavir.5KG170700","AT5G36110","CYP716A1","cytochrome P450, family 716, subfamily A, polypeptide 1","LOC_Os07g33440","cytochrome P450, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","5K@37.73","Pavir.5KG171700","AT1G44970","","Peroxidase superfamily protein","LOC_Os01g15810","peroxidase precursor, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","5K@37.73","Pavir.5KG171800","AT2G18150","","Peroxidase superfamily protein","LOC_Os01g15830","peroxidase precursor, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","5K@37.73","Pavir.5KG171807","AT5G66390","","Peroxidase superfamily protein","LOC_Os01g15830","peroxidase precursor, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","5K@37.73","Pavir.5KG171900","AT2G18150","","Peroxidase superfamily protein","LOC_Os01g15830","peroxidase precursor, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","5K@37.73","Pavir.5KG171907","AT2G18150","","Peroxidase superfamily protein","LOC_Os01g15830","peroxidase precursor, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","5K@37.73","Pavir.5KG172000","AT5G66390","","Peroxidase superfamily protein","LOC_Os01g15830","peroxidase precursor, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","5K@37.73","Pavir.5KG172100","AT5G66390","","Peroxidase superfamily protein","LOC_Os01g15830","peroxidase precursor, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","5K@37.73","Pavir.5KG181200","AT2G39040","","Peroxidase superfamily protein","LOC_Os01g16450","peroxidase precursor, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","5K@37.73","Pavir.5KG214000","AT4G33420","","Peroxidase superfamily protein","LOC_Os01g19020","peroxidase precursor, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","5K@37.73","Pavir.5KG214200","AT4G33420","","Peroxidase superfamily protein","LOC_Os01g19020","peroxidase precursor, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","5K@37.73","Pavir.5KG214400","AT4G33420","","Peroxidase superfamily protein","LOC_Os01g18970","peroxidase precursor, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","5K@37.73","Pavir.5KG214500","AT1G71695","","Peroxidase superfamily protein","LOC_Os07g06300","ethylene-insensitive protein 2, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","5K@37.73","Pavir.5KG214600","AT1G71695","","Peroxidase superfamily protein","LOC_Os05g04470","peroxidase precursor, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","5K@37.73","Pavir.5KG243314","AT4G11290","","Peroxidase superfamily protein","LOC_Os03g25320","peroxidase precursor, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","5K@37.73","Pavir.5KG243321","AT4G11290","","Peroxidase superfamily protein","LOC_Os03g25320","peroxidase precursor, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","5K@37.73","Pavir.5KG244400","AT2G39040","","Peroxidase superfamily protein","LOC_Os01g28030","peroxidase precursor, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","5K@37.73","Pavir.5KG257900","AT2G46960","CYP709B1","cytochrome P450, family 709, subfamily B, polypeptide 1","LOC_Os01g24780","cytochrome P450, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","5K@37.73","Pavir.5KG258514","AT2G46950","CYP709B2","cytochrome P450, family 709, subfamily B, polypeptide 2","LOC_Os01g24780","cytochrome P450, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","5K@37.73","Pavir.5KG261300","AT5G15180","","Peroxidase superfamily protein","LOC_Os01g22370","peroxidase precursor, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","5K@37.73","Pavir.5KG262400","AT4G11290","","Peroxidase superfamily protein","LOC_Os01g22370","peroxidase precursor, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","5K@37.73","Pavir.5KG262600","AT5G64120","","Peroxidase superfamily protein","LOC_Os01g22352","peroxidase precursor, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","5K@37.73","Pavir.5KG262900","AT1G71695","","Peroxidase superfamily protein","LOC_Os04g59260","peroxidase precursor, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","5K@37.73","Pavir.5KG263100","AT1G71695","","Peroxidase superfamily protein","LOC_Os01g22336","peroxidase precursor, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","5K@37.73","Pavir.5KG263200","AT4G11290","","Peroxidase superfamily protein","LOC_Os01g22336","peroxidase precursor, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","7K@41.91","Pavir.7KG396100","AT4G11290","","Peroxidase superfamily protein","LOC_Os04g53640","peroxidase precursor, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","9K@76.29","Pavir.9KG381600","AT3G56630","CYP94D2","cytochrome P450, family 94, subfamily D, polypeptide 2","LOC_Os01g58970","cytochrome P450, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","9K@76.29","Pavir.9KG381700","AT1G12740","CYP87A2","cytochrome P450, family 87, subfamily A, polypeptide 2","LOC_Os03g45619","cytochrome P450, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","9K@76.29","Pavir.9KG381800","AT3G50660","CLM,CYP90B1,DWF4,PSC1,SAV1,SNP2","Cytochrome P450 superfamily protein","LOC_Os04g39430","cytochrome P450, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","9K@76.29","Pavir.9KG386100","AT1G13710","CYP78A5,KLU","cytochrome P450, family 78, subfamily A, polypeptide 5","LOC_Os03g30420","cytochrome P450, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","9K@76.29","Pavir.9KG411100","AT2G46950","CYP709B2","cytochrome P450, family 709, subfamily B, polypeptide 2","LOC_Os01g24780","cytochrome P450, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","9K@76.29","Pavir.9KG411200","AT2G46950","CYP709B2","cytochrome P450, family 709, subfamily B, polypeptide 2","LOC_Os01g24780","cytochrome P450, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","9K@76.29","Pavir.9KG411400","AT2G46950","CYP709B2","cytochrome P450, family 709, subfamily B, polypeptide 2","LOC_Os03g25490","cytochrome P450 72A1, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","9K@76.29","Pavir.9KG411500","AT2G46950","CYP709B2","cytochrome P450, family 709, subfamily B, polypeptide 2","LOC_Os03g25480","cytochrome P450, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","9K@76.29","Pavir.9KG412400","AT4G33420","","Peroxidase superfamily protein","LOC_Os03g25360","peroxidase precursor, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","9K@76.29","Pavir.9KG412500","AT5G66390","","Peroxidase superfamily protein","LOC_Os03g25330","peroxidase precursor, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","9K@76.29","Pavir.9KG412600","AT4G11290","","Peroxidase superfamily protein","LOC_Os03g25320","peroxidase precursor, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","9K@76.29","Pavir.9KG412800","AT1G14550","","Peroxidase superfamily protein","LOC_Os03g25320","peroxidase precursor, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","9K@76.29","Pavir.9KG412900","AT4G11290","","Peroxidase superfamily protein","LOC_Os03g25320","peroxidase precursor, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","9K@76.29","Pavir.9KG413500","AT5G07990","CYP75B1,D501,TT7","Cytochrome P450 superfamily protein","LOC_Os03g25150","transposon protein, putative, unclassified, expressed"
"Al27","GO:0020037","heme binding","molecular_function","9K@76.29","Pavir.9KG423300","AT3G26330","CYP71B37","cytochrome P450, family 71, subfamily B, polypeptide 37","LOC_Os01g72740","cytochrome P450, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","9K@76.29","Pavir.9KG430700","AT5G24910","CYP714A1","cytochrome P450, family 714, subfamily A, polypeptide 1","LOC_Os03g21400","cytochrome P450, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","9K@76.29","Pavir.9KG433600","AT5G05340","","Peroxidase superfamily protein","LOC_Os03g22020","peroxidase precursor, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","9K@76.29","Pavir.9KG435901","AT1G33730","CYP76C5","cytochrome P450, family 76, subfamily C, polypeptide 5","LOC_Os08g39730","cytochrome P450, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","9K@76.29","Pavir.9KG439800","AT3G26330","CYP71B37","cytochrome P450, family 71, subfamily B, polypeptide 37","LOC_Os09g10340","cytochrome P450, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","9K@76.29","Pavir.9KG454200","AT5G07990","CYP75B1,D501,TT7","Cytochrome P450 superfamily protein","LOC_Os02g29960","cytochrome P450, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","9K@76.29","Pavir.9KG454300","AT5G07990","CYP75B1,D501,TT7","Cytochrome P450 superfamily protein","LOC_Os02g29960","cytochrome P450, putative, expressed"
"Al27","GO:0020037","heme binding","molecular_function","9K@76.29","Pavir.9KG480900","AT1G07890","APX1,ATAPX01,ATAPX1,CS1,MEE6","ascorbate peroxidase 1","LOC_Os03g17690","OsAPx1 - Cytosolic Ascorbate Peroxidase encoding gene 1-8, expressed"
"Al27","GO:0020037","heme binding","molecular_function","9K@76.29","Pavir.9KG483200","AT2G32440","ATKAO2,CYP88A4,KAO2","ent-kaurenoic acid hydroxylase 2","LOC_Os10g23180","cytochrome P450, putative, expressed"
"Al27","GO:0006508","proteolysis","biological_process","4N@31.99","Pavir.4NG001400","AT1G49050","","Eukaryotic aspartyl protease family protein","LOC_Os06g15760","eukaryotic aspartyl protease domain containing protein, expressed"
"Al27","GO:0006508","proteolysis","biological_process","4N@31.99","Pavir.4NG031411","AT2G27920","SCPL51","serine carboxypeptidase-like 51","LOC_Os03g27590","OsSCP18 - Putative Serine Carboxypeptidase homologue, expressed"
"Al27","GO:0006508","proteolysis","biological_process","4N@31.99","Pavir.4NG073400","AT3G61820","","Eukaryotic aspartyl protease family protein","LOC_Os12g26470","aspartic proteinase nepenthesin-1 precursor, putative, expressed"
"Al27","GO:0006508","proteolysis","biological_process","4N@31.99","Pavir.4NG075057","AT3G61820","","Eukaryotic aspartyl protease family protein","LOC_Os08g36530","aspartic proteinase nepenthesin precursor, putative, expressed"
"Al27","GO:0006508","proteolysis","biological_process","4N@31.99","Pavir.4NG124838","AT2G03200","","Eukaryotic aspartyl protease family protein","LOC_Os06g10670","aspartic proteinase nepenthesin-1 precursor, putative, expressed"
"Al27","GO:0006508","proteolysis","biological_process","4N@31.99","Pavir.4NG135849","AT4G30810","scpl29","serine carboxypeptidase-like 29","LOC_Os06g08720","OsSCP32 - Putative Serine Carboxypeptidase homologue, expressed"
"Al27","GO:0006508","proteolysis","biological_process","4N@31.99","Pavir.4NG137000","AT5G10770","","Eukaryotic aspartyl protease family protein","LOC_Os06g20190","aspartic proteinase nepenthesin-2 precursor, putative, expressed"
"Al27","GO:0006508","proteolysis","biological_process","4N@31.99","Pavir.4NG140762","AT5G10770","","Eukaryotic aspartyl protease family protein","LOC_Os06g20190","aspartic proteinase nepenthesin-2 precursor, putative, expressed"
"Al27","GO:0006508","proteolysis","biological_process","4N@31.99","Pavir.4NG142100","AT5G10770","","Eukaryotic aspartyl protease family protein","LOC_Os06g20040","aspartic proteinase nepenthesin-2 precursor, putative, expressed"
"Al27","GO:0006508","proteolysis","biological_process","4N@31.99","Pavir.4NG142700","AT5G10770","","Eukaryotic aspartyl protease family protein","LOC_Os06g20140","aspartic proteinase nepenthesin-1 precursor, putative, expressed"
"Al27","GO:0006508","proteolysis","biological_process","4N@31.99","Pavir.4NG142900","AT5G10770","","Eukaryotic aspartyl protease family protein","LOC_Os06g20110","expressed protein"
"Al27","GO:0006508","proteolysis","biological_process","4N@31.99","Pavir.4NG144800","AT5G10770","","Eukaryotic aspartyl protease family protein","LOC_Os02g48870","aspartic proteinase nepenthesin-2 precursor, putative, expressed"
"Al27","GO:0006508","proteolysis","biological_process","4N@31.99","Pavir.4NG146681","AT5G10770","","Eukaryotic aspartyl protease family protein","LOC_Os06g20140","aspartic proteinase nepenthesin-1 precursor, putative, expressed"
"Al27","GO:0006508","proteolysis","biological_process","4N@31.99","Pavir.4NG150781","AT5G10770","","Eukaryotic aspartyl protease family protein","LOC_Os06g20110","expressed protein"
"Al27","GO:0006508","proteolysis","biological_process","4N@31.99","Pavir.4NG156900","AT5G10770","","Eukaryotic aspartyl protease family protein","LOC_Os06g20140","aspartic proteinase nepenthesin-1 precursor, putative, expressed"
"Al27","GO:0006508","proteolysis","biological_process","4N@31.99","Pavir.4NG157800","AT5G10770","","Eukaryotic aspartyl protease family protein","LOC_Os06g20190","aspartic proteinase nepenthesin-2 precursor, putative, expressed"
"Al27","GO:0006508","proteolysis","biological_process","4N@31.99","Pavir.4NG169800","AT5G23210","SCPL34","serine carboxypeptidase-like 34","LOC_Os06g51370","OsSCP38 - Putative Serine Carboxypeptidase homologue, expressed"
"Al27","GO:0006508","proteolysis","biological_process","4N@31.99","Pavir.4NG172200","AT1G03230","","Eukaryotic aspartyl protease family protein","LOC_Os01g71080","xylanase inhibitor, putative, expressed"
"Al27","GO:0006508","proteolysis","biological_process","4N@31.99","Pavir.4NG183700","AT5G10770","","Eukaryotic aspartyl protease family protein","LOC_Os06g40818","aspartic proteinase, putative, expressed"
"Al27","GO:0006508","proteolysis","biological_process","4N@31.99","Pavir.4NG195700","AT2G27920","SCPL51","serine carboxypeptidase-like 51","LOC_Os03g27590","OsSCP18 - Putative Serine Carboxypeptidase homologue, expressed"
"Al27","GO:0006508","proteolysis","biological_process","4N@31.99","Pavir.4NG195822","","","","LOC_Os03g27590","OsSCP18 - Putative Serine Carboxypeptidase homologue, expressed"
"Al27","GO:0006508","proteolysis","biological_process","4N@31.99","Pavir.4NG197933","AT2G04160","AIR3","Subtilisin-like serine endopeptidase family protein","LOC_Os06g40700","OsSub50 - Putative Subtilisin homologue, expressed"
"Al27","GO:0006508","proteolysis","biological_process","4N@31.99","Pavir.4NG208700","AT5G10770","","Eukaryotic aspartyl protease family protein","LOC_Os06g20110","expressed protein"
"Al27","GO:0006508","proteolysis","biological_process","4N@31.99","Pavir.4NG224711","AT1G04110","SDD1","Subtilase family protein","LOC_Os12g23980","OsSub63 - Putative Subtilisin homologue, expressed"
"Al27","GO:0006508","proteolysis","biological_process","4N@31.99","Pavir.4NG238700","AT4G34980","SLP2","subtilisin-like serine protease 2","LOC_Os06g41880","OsSub51 - Putative Subtilisin homologue, expressed"
"Al27","GO:0006508","proteolysis","biological_process","5K@37.73","Pavir.5KG153700","AT3G27110","","Peptidase family M48 family protein","LOC_Os01g73910","peptidase, putative, expressed"
"Al27","GO:0006508","proteolysis","biological_process","5K@37.73","Pavir.5KG209600","AT1G20160","ATSBT5.2","Subtilisin-like serine endopeptidase family protein","LOC_Os09g30458","subtilisin-like protease, putative, expressed"
"Al27","GO:0006508","proteolysis","biological_process","5K@37.73","Pavir.5KG254600","AT3G17180","scpl33","serine carboxypeptidase-like 33","LOC_Os01g22954","serine carboxypeptidase, putative, expressed"
"Al27","GO:0006508","proteolysis","biological_process","5K@37.73","Pavir.5KG254700","AT3G17180","scpl33","serine carboxypeptidase-like 33","LOC_Os01g22980","OsSCP3 - Putative Serine Carboxypeptidase homologue, expressed"
"Al27","GO:0006508","proteolysis","biological_process","5K@37.73","Pavir.5KG254900","AT3G17180","scpl33","serine carboxypeptidase-like 33","LOC_Os01g22980","OsSCP3 - Putative Serine Carboxypeptidase homologue, expressed"
"Al27","GO:0006508","proteolysis","biological_process","7K@41.91","Pavir.7KG345500","AT1G64520","RPN12a","regulatory particle non-ATPase 12A","LOC_Os07g25420","26S proteasome non-ATPase regulatory subunit 8, putative, expressed"
"Al27","GO:0006508","proteolysis","biological_process","9K@76.29","Pavir.9KG358500","AT2G27920","SCPL51","serine carboxypeptidase-like 51","LOC_Os03g27590","OsSCP18 - Putative Serine Carboxypeptidase homologue, expressed"
"Al27","GO:0006508","proteolysis","biological_process","9K@76.29","Pavir.9KG358700","AT2G27920","SCPL51","serine carboxypeptidase-like 51","LOC_Os03g27590","OsSCP18 - Putative Serine Carboxypeptidase homologue, expressed"
"Al27","GO:0006508","proteolysis","biological_process","9K@76.29","Pavir.9KG377600","AT3G07990","SCPL27","serine carboxypeptidase-like 27","LOC_Os03g26930","OsSCP13 - Putative Serine Carboxypeptidase homologue, expressed"
"Al27","GO:0006508","proteolysis","biological_process","9K@76.29","Pavir.9KG377700","AT3G63470","scpl40","serine carboxypeptidase-like 40","LOC_Os03g26920","OsSCP12 - Putative Serine Carboxypeptidase homologue, expressed"
"Al27","GO:0006508","proteolysis","biological_process","9K@76.29","Pavir.9KG393200","AT1G19740","","ATP-dependent protease La (LON) domain protein","LOC_Os03g29540","ATP-dependent protease, putative, expressed"
"Al27","GO:0006508","proteolysis","biological_process","9K@76.29","Pavir.9KG401500","AT1G02170","AMC1,ATMC1,ATMCPB1,LOL3,MCP1B","metacaspase 1","LOC_Os03g27210","LOL3, putative, expressed"
"Al27","GO:0006508","proteolysis","biological_process","9K@76.29","Pavir.9KG401600","AT1G02170","AMC1,ATMC1,ATMCPB1,LOL3,MCP1B","metacaspase 1","LOC_Os03g27170","ICE-like protease p20 domain containing protein, putative, expressed"
"Al27","GO:0006508","proteolysis","biological_process","9K@76.29","Pavir.9KG401700","AT1G02170","AMC1,ATMC1,ATMCPB1,LOL3,MCP1B","metacaspase 1","LOC_Os03g27170","ICE-like protease p20 domain containing protein, putative, expressed"
"Al27","GO:0006508","proteolysis","biological_process","9K@76.29","Pavir.9KG401800","AT1G02170","AMC1,ATMC1,ATMCPB1,LOL3,MCP1B","metacaspase 1","LOC_Os03g27120","ICE-like protease p20 domain containing protein, putative, expressed"
"Al27","GO:0006508","proteolysis","biological_process","9K@76.29","Pavir.9KG402200","AT1G02170","AMC1,ATMC1,ATMCPB1,LOL3,MCP1B","metacaspase 1","LOC_Os03g27120","ICE-like protease p20 domain containing protein, putative, expressed"
"Al27","GO:0006508","proteolysis","biological_process","9K@76.29","Pavir.9KG422400","AT2G03200","","Eukaryotic aspartyl protease family protein","LOC_Os03g20210","aspartic proteinase nepenthesin precursor, putative, expressed"
"Al27","GO:0006508","proteolysis","biological_process","9K@76.29","Pavir.9KG422500","AT2G03200","","Eukaryotic aspartyl protease family protein","LOC_Os03g20290","aspartic proteinase nepenthesin-1 precursor, putative, expressed"
"Al27","GO:0006508","proteolysis","biological_process","9K@76.29","Pavir.9KG505200","AT2G39710","","Eukaryotic aspartyl protease family protein","LOC_Os03g16500","aspartic proteinase nepenthesin precursor, putative, expressed"
"Al27","GO:0006508","proteolysis","biological_process","9K@76.29","Pavir.9KG552600","AT1G55350","ATDEK1,DEK1,EMB1275,EMB80","calpain-type cysteine protease family","LOC_Os02g47970","calpain, putative, expressed"
"Al27","GO:0006508","proteolysis","biological_process","4N@31.99","Pavir.4NG076238","","","","LOC_Os12g11600","transposon protein, putative, CACTA, En/Spm sub-class, expressed"
"Al27","GO:0006508","proteolysis","biological_process","4N@31.99","Pavir.4NG081700","AT1G60220","OTS1,ULP1D","UB-like protease 1D","LOC_Os06g29310","ulp1 protease family protein, putative, expressed"
"Al27","GO:0006508","proteolysis","biological_process","4N@31.99","Pavir.4NG083617","","","","LOC_Os06g13750","expressed protein"
"Al27","GO:0006508","proteolysis","biological_process","4N@31.99","Pavir.4NG088700","AT5G36210","","alpha/beta-Hydrolases superfamily protein","LOC_Os06g11190","OsPOP13 - Putative Prolyl Oligopeptidase homologue, expressed"
"Al27","GO:0006508","proteolysis","biological_process","4N@31.99","Pavir.4NG100800","AT5G15250","ATFTSH6,FTSH6","FTSH protease 6","LOC_Os06g12370","OsFtsH6 FtsH protease, homologue of AtFtsH6, expressed"
"Al27","GO:0006508","proteolysis","biological_process","4N@31.99","Pavir.4NG111438","AT5G36210","","alpha/beta-Hydrolases superfamily protein","LOC_Os06g11190","OsPOP13 - Putative Prolyl Oligopeptidase homologue, expressed"
